"bin","Trial_Type","Average","Upper","Lower"
1,"rand_local",281.809509780343,363.521626322341,200.097393238345
2,"rand_local",346.614285714286,430.561064930076,262.667506498495
3,"rand_local",351.650370138309,445.393720483221,257.907019793397
4,"rand_local",300.292477722083,405.21789626617,195.367059177996
5,"rand_local",269.247741460132,400.738668656927,137.756814263336
6,"rand_local",32.2691125963056,213.487856063945,-148.949630871334
1,"alt_local",136.997208193042,189.486035978315,84.508380407768
2,"alt_local",169.156172839506,241.594259474101,96.7180862049112
3,"alt_local",157.666000649773,233.308080856884,82.0239204426609
4,"alt_local",123.413685834958,193.663638606466,53.16373306345
5,"alt_local",27.9666016894087,130.337778699786,-74.404575320969
6,"alt_local",-162.282110948668,15.1194146497436,-339.68363654708
1,"rand_global",496.460859686591,567.47658248429,425.445136888891
2,"rand_global",672.418119105983,809.708207702783,535.128030509183
3,"rand_global",834.258822461794,1010.13856036601,658.379084557577
4,"rand_global",1048.06603198638,1265.52374651978,830.60831745297
5,"rand_global",1322.77943483875,1564.44341594342,1081.11545373408
6,"rand_global",1743.81664250842,2031.30887394016,1456.32441107669
1,"alt_global",599.401845937994,744.291391302787,454.5123005732
2,"alt_global",784.970433920798,996.105178184453,573.835689657142
3,"alt_global",950.478344066733,1179.44820318075,721.508484952719
4,"alt_global",1137.58044997579,1378.53614086275,896.624759088841
5,"alt_global",1428.36686870119,1690.01075164877,1166.72298575361
6,"alt_global",1886.82856931618,2182.092756541,1591.56438209136
