bin,Group,Trial_Type,Average,Upper,Lower
1,YA,alt_ns,786.5685725,820.8850495,752.2520955
2,YA,alt_ns,956.7707968,1003.028934,910.5126593
3,YA,alt_ns,1125.721074,1188.6181,1062.824047
4,YA,alt_ns,1329.402005,1412.56927,1246.23474
5,YA,alt_ns,1645.853018,1758.891101,1532.814935
6,YA,alt_ns,2400.306751,2596.642928,2203.970575
1,YA,alt_switch,874.3917868,919.0524796,829.731094
2,YA,alt_switch,1067.673559,1119.587498,1015.75962
3,YA,alt_switch,1227.741061,1287.004214,1168.477908
4,YA,alt_switch,1413.875423,1485.867287,1341.883559
5,YA,alt_switch,1711.932942,1814.719533,1609.146351
6,YA,alt_switch,2424.047551,2611.925467,2236.169635
1,YA,pure,457.5439304,473.5056367,441.582224
2,YA,pure,525.3681463,543.5477557,507.188537
3,YA,pure,576.3362404,597.6398937,555.0325871
4,YA,pure,641.0192605,669.4804555,612.5580656
5,YA,pure,745.8406532,788.2846334,703.396673
6,YA,pure,1194.661053,1302.14119,1087.180916
1,YA,rand_ns,754.3438179,785.1508014,723.5368343
2,YA,rand_ns,901.9039317,946.7143579,857.0935055
3,YA,rand_ns,1034.278504,1097.046286,971.5107206
4,YA,rand_ns,1211.849227,1293.687231,1130.011224
5,YA,rand_ns,1510.474635,1620.002477,1400.946792
6,YA,rand_ns,2272.641212,2472.026429,2073.255996
1,YA,rand_switch,895.5064076,945.8916867,845.1211285
2,YA,rand_switch,1089.17182,1154.561567,1023.782073
3,YA,rand_switch,1253.925313,1334.511867,1173.338759
4,YA,rand_switch,1450.857832,1548.928431,1352.787233
5,YA,rand_switch,1739.916787,1863.306317,1616.527256
6,YA,rand_switch,2418.175449,2617.289992,2219.060906
